url,has_section,has_data,error
https://fyers.co.in/stocks/bengal-steel-industries-ltd,True,True,
https://fyers.co.in/stocks/uniworth-securities-ltd,True,True,
https://fyers.co.in/stocks/white-hall-commercial-co-ltd,True,True,
https://fyers.co.in/stocks/devinsu-trading-ltd,True,True,
https://fyers.co.in/stocks/mercury-trade-links-ltd,True,True,
https://fyers.co.in/stocks/punctual-trading-ltd,True,True,
https://fyers.co.in/stocks/ganon-products-ltd,True,True,
https://fyers.co.in/stocks/polytex-india-ltd,False,False,404 Client Error: Not Found for url: https://fyers.co.in/stocks/polytex-india-ltd
https://fyers.co.in/stocks/nirav-commercials-ltd,True,True,
https://fyers.co.in/stocks/virya-resources-ltd,True,True,
https://fyers.co.in/stocks/apollo-finvest-india-ltd,True,True,
https://fyers.co.in/stocks/shri-jagdamba-polymers-ltd,True,True,
https://fyers.co.in/stocks/betex-india-ltd,True,True,
https://fyers.co.in/stocks/dhanlaxmi-cotex-ltd,True,True,
https://fyers.co.in/stocks/vinayak-vanijya-ltd,True,True,
https://fyers.co.in/stocks/shalimar-productions-ltd,True,False,
https://fyers.co.in/stocks/oasis-securities-ltd,True,True,
https://fyers.co.in/stocks/meenakshi-steel-industries-ltd,True,True,
https://fyers.co.in/stocks/varun-mercantile-ltd,True,True,
https://fyers.co.in/stocks/garnet-international-ltd,True,True,
https://fyers.co.in/stocks/neelkanth-ltd,True,True,
https://fyers.co.in/stocks/astal-laboratories-ltd,True,True,
https://fyers.co.in/stocks/zodiac-jrd-mkj-ltd,True,True,
https://fyers.co.in/stocks/sita-enterprises-ltd,True,True,
https://fyers.co.in/stocks/manbro-industries-ltd,True,True,
https://fyers.co.in/stocks/super-sales-india-ltd,True,True,
https://fyers.co.in/stocks/pulsar-international-ltd,True,True,
https://fyers.co.in/stocks/haria-exports-ltd,True,True,
https://fyers.co.in/stocks/hindusthan-udyog-ltd,True,True,
https://fyers.co.in/stocks/jeet-machine-tools-ltd,True,True,
https://fyers.co.in/stocks/savera-industries-ltd,True,True,
https://fyers.co.in/stocks/chrome-silicon-ltd,True,True,
https://fyers.co.in/stocks/rlf-ltd,True,True,
https://fyers.co.in/stocks/regent-enterprises-ltd,True,True,
https://fyers.co.in/stocks/saianand-commercial-ltd,True,True,
https://fyers.co.in/stocks/triochem-products-ltd,True,True,
https://fyers.co.in/stocks/onix-solar-energy-ltd,True,True,
